id,title_zh,title_en,title_jp,caption_zh,caption_en,caption_jp,category,posterImage,rarity,hidden,oracle,title_ru,caption_ru,title_es,caption_es,title_tc,caption_tc,series,,,,
10,考取导游证,Getting a tour guide license,ガイド免許取得,恭喜你，景区免费！,Congratulations—you get free entry to the scenic spots!,おめでとうございます。観光地が無料になります！,skills,,rare,,,Лицензия гида,Поздравляю — вход в достопримечательности бесплатный!,Licencia de guía turístico,"¡Felicidades, acceso gratis a los sitios turísticos!",考取導遊證,恭喜你，景區免費！,,,,,
11,登顶珠峰,Summit Everest,エベレスト登頂,因为山就在那里。,Because it's there.,山がそこにあるから。,sports,,legendary,,,Восхождение на Эверест,Потому что гора есть.,Cima del Everest,Porque la montaña está ahí.,登頂珠峰,因為山就在那裏。,,,,,
12,跳伞,Skydiving,スカイダイビング,勇气就是这样使用的。,This is what courage looks like.,勇気とは、こうやって使うもの。,sports,,rare,,,Прыжок с парашютом,Вот так и используется смелость.,Paracaidismo,Así es como se usa el valor.,跳傘,勇氣就是這樣使用的。,,,,,
13,看动物大迁徙,Watching the Great Animal Migration,動物の大移動を見る,亿万年前，我们也曾这样迁徙。,"Millions of years ago, we too once migrated like this.",何百万年も前、私たちもこうやって移動していた。,quest,,rare,,,Великое переселение животных,Миллионы лет назад мы тоже мигрировали подобным образом.,Gran migración,"Hace millones de años, nosotros también migrábamos así.",看動物大遷徙,億萬年前，我們也曾這樣遷徙。,,,,,
14,看“蓝眼泪”,"Watching the ""Blue Tears""",「青い涙」を見る,夜光藻随着海浪的波动发出幽蓝的光。,The bioluminescent plankton glow blue with the rhythm of the waves.,夜光虫が波に揺れて、青い光を放つ。,quest,,rare,,,Голубые слёзы,"Морской планктон светится синим, колышась в волнах.",Lágrimas azules,El plancton brilla en azul con el vaivén de las olas.,看「藍眼淚」,夜光藻隨著海浪的波動發出幽藍的光。,,,,,
15,为人父母,Becoming a Parent,親になる,从此多了一份责任，也多了一份快乐。,With great responsibility comes great joy.,責任が増えた分、喜びも増えた。,life,,legendary,,,Родительство,"Теперь у тебя больше ответственности, но и больше радости.",Ser padre o madre,"Desde ahora, más responsabilidades, pero también más alegrías.",為人父母,從此多了一份責任，也多了一份快樂。,,,,,
16,养宠物,Raising a Pet,ペットを飼う,你不知道它为了到你身边花了多大的力气。,You have no idea how much effort it took to reach you.,あなたのもとに来るために、どれほどの力を使ったか、想像もつかない。,life,,common,,,Завести питомца,"Ты не знаешь, сколько усилий потребовалось, чтобы он оказался рядом.",Tener una mascota,No sabes cuánto esfuerzo le costó llegar a ti.,養寵物,你不知道它為了到你身邊花了多大的力氣。,,,,,
17,被辞退,Getting Fired,解雇される,人生的容错很大，好运还在后头，不要担心！,Life has a high tolerance for trial and error. Don’t worry—good luck is still ahead.,人生のやり直しは効く。幸運はこれから。心配しないで。,career,,common,,,Увольнение,"В жизни большой запас прочности. Удача впереди, не волнуйся.",Ser despedido,"La vida tiene mucha tolerancia al error. La buena suerte aún está adelante, no te preocupes.",被辭退,人生的容錯很大，好運還在後頭，不要擔心！,,,,,
18,间隔年,Gap Year,ギャップイヤー,去旅行、去恋爱、去享受生活。,"Travel, fall in love, enjoy life.",旅して、恋して、人生を楽しもう。,life,,common,,,Гэп-год,"Путешествуй, влюбляйся, наслаждайся жизнью.",Año sabático,"Viaja, enamórate, disfruta de la vida.",間隔年,去旅行、去戀愛、去享受生活。,,,,,
19,考试满分,Perfect Exam Score,試験満点,是时候奖励自己点什么了。,It’s time to reward yourself.,そろそろ自分にご褒美をあげよう。,study,,common,,,Идеальный результат,Пора себя чем-то порадовать.,Puntaje perfecto,Es momento de darte un premio.,考試滿分,是時候獎勵自己點什麽了。,,,,,
20,初恋,First Love,初恋,蝉鸣、烟花、汽水、盛夏、夜晚、星空。,"Cicadas, fireworks, soda, summer nights, and starlit skies.",蝉の声、花火、炭酸、真夏の夜、星空。,life,,common,,,Первая любовь,"Цикады, фейерверки, лимонад, летняя ночь, звёздное небо.",Primer amor,"Cigarras, fuegos artificiales, refrescos, noches de verano, cielos estrellados.",初戀,蟬鳴、煙花、汽水、盛夏、夜晚、星空。,,,,,
21,失恋,Heartbreak,失恋,去写诗去写歌，把强烈的情绪记录下来，让老年时的自己感受自己曾经的炽热。,Write poems and songs. Capture the intensity so future you can feel how much you once burned.,詩を書いて、歌を作って、あの強い気持ちを記録して。老いた自分に見せてあげよう。,life,,common,,,Расставание,"Пиши стихи и песни, запиши сильные эмоции, чтобы в старости почувствовать своё былое пламя.",Ruptura amorosa,"Escribe poemas y canciones, guarda esas emociones intensas para que tu yo anciano sienta el ardor de tu juventud.",失戀,去寫詩去寫歌，把強烈的情緒記錄下來，讓老年時的自己感受自己曾經的熾熱。,,,,,
22,出书,Publishing a Book,本を出版する,书籍是人类进步的阶梯。,Books are the ladder of human progress.,本は人類の進歩の階段だ。,career,,rare,,,Издание книги,Книги — это лестница прогресса человечества.,Publicar un libro,Los libros son la escalera del progreso humano.,出書,書籍是人類進步的階梯。,,,,,
23,上架App,Launching an App,アプリを公開する,每一个独立开发者的第一步。,The first step for every indie developer.,すべてのインディーデベロッパーの第一歩。,career,,rare,,,Публикация приложения,Каждый независимый разработчик начинает с этого шага.,Lanzar una aplicación,Cada desarrollador independiente empieza con este paso.,上架App,每一個獨立開發者的第一步。,,,,,
24,独立游戏,Indie Game,インディーゲーム,独立游戏是自由的也是危险的，但更重要的，它是美妙的。,"Indie games are free and risky, but above all, they are beautiful.",自由で危険、それでもインディーゲームは美しい。,career,,rare,,,Инди-игра,"Инди-игры свободны и рискованны, но самое главное — они прекрасны.",Juego indie,"Los juegos indie son libres y arriesgados, pero lo más importante: son hermosos.",獨立遊戲,獨立遊戲是自由的也是危險的，但更重要的，它是美妙的。,,,,,
25,制作播客,Starting a Podcast,ポッドキャストを始める,我们素未相识，不曾蒙面，但你却对我的声音感到亲切。,"We’ve never met, never seen each other, yet somehow my voice feels familiar to you.",私たちは出会ったことも、顔を合わせたこともないのに、あなたは私の声に親しみを感じてくれる。,career,,rare,,,Создание подкаста,"Мы никогда не встречались, но твой голос всё же кажется мне близким.",Crear un pódcast,"Nunca nos hemos visto, pero aun así tu voz me resulta familiar.",製作播客,我們素未相識，不曾蒙面，但你卻對我的聲音感到親切。,,,,,
26,粉丝破千,1K Followers,フォロワー千人,你只需要1000个铁杆粉丝。,"All you need is 1,000 true fans.",必要なのは、たった千人の熱狂的ファンだけ。,career,,common,,,Тысяча фанатов,Тебе нужно всего лишь 1000 преданных фанатов.,Mil fans,Solo necesitas 1000 verdaderos fans.,粉絲破千,你只需要1000個鐵桿粉絲。,,,,,
27,粉丝破万,10K Followers,フォロワー一万人,每个人都有可能出名15分钟。,Everyone will be world-famous for 15 minutes.,誰もが15分は有名になれる。,career,,common,,,Десять тысяч фанатов,У каждого есть шанс прославиться на 15 минут.,Diez mil fans,Todos tienen la oportunidad de ser famosos durante 15 minutos.,粉絲破萬,每個人都有可能出名15分鐘。,,,,,
28,粉丝十万,100K Followers,フォロワー十万人,你的粉丝数已经比整个摩纳哥的国家人口都多了。,Your fanbase is now larger than the entire population of Monaco.,あなたのファンは、モナコの人口より多い。,career,,rare,,,Сто тысяч фанатов,"Твоих подписчиков уже больше, чем жителей в Монако.",Cien mil fans,Ya tienes más seguidores que toda la población de Mónaco.,粉絲十萬,你的粉絲數已經比整個摩納哥的國家人口都多了。,,,,,
29,粉丝百万,1M Followers,フォロワー百万人,如果觉得好用，请向你的粉丝们推荐这款App吧，别让我求你。,"If you like it, please recommend this app to your fans. Don’t make me beg.",気に入ったら、ファンにアプリを紹介してね。お願い、頼むから。,career,,legendary,,,Миллион фанатов,"Если приложение нравится, расскажи о нём своим фанатам. Не заставляй меня умолять.",Un millón de fans,"Si te gusta la aplicación, recomiéndala a tus fans. No me hagas rogarte.",粉絲百萬,如果覺得好用，請向你的粉絲們推薦這款App吧，別讓我求你。,,,,,
30,买车,Buying a Car,車を買う,速度七十迈，心情是自由自在。,"At 70 mph, your mood is flying free.",時速100キロ。気分は自由自在。,life,,common,,,Покупка автомобиля,Скорость 70 км/ч — настроение свободное и лёгкое.,Comprar un coche,"A 70 por hora, el ánimo es libre y ligero.",買車,速度七十邁，心情是自由自在。,,,,,
31,买房,Buying a House,家を買う,那不只是房子，是植物生长的地方；是爱宠打碎盘子的地方；是慢慢变老的地方；是家。,"That’s not just a house—it’s where plants grow, pets break dishes, and people grow old. It’s home.",それはただの家じゃない。植物が育つ場所で、ペットが皿を割る場所で、ゆっくり老いていく場所。つまり「家」。,life,,rare,,,Покупка жилья,"Это не просто дом. Это место, где растут растения, где питомцы бьют тарелки, где ты стареешь медленно. Это твой дом.",Comprar una casa,"No es solo una casa. Es donde crecen las plantas, donde las mascotas rompen platos, donde uno envejece lentamente. Es un hogar.",買房,那不只是房子，是植物生長的地方；是愛寵打碎盤子的地方；是慢慢變老的地方；是家。,,,,,
32,听演唱会,Attending a Concert,コンサートに行く,记得带上长焦镜头、润喉片和小帽子。,"Bring a zoom lens, throat lozenges, and a little hat.",望遠レンズと、のど飴と、小さな帽子を忘れずに。,life,,common,,,Посещение концерта,"Не забудь взять длиннофокусный объектив, леденцы для горла и кепку.",Asistir a un concierto,"Recuerda llevar un teleobjetivo, pastillas para la garganta y una gorra.",聽演唱會,記得帶上長焦鏡頭、潤喉片和小帽子。,,,,,
33,日语N1,JLPT N1,日本語能力試験N1,天気がいいから、散歩しましょう。,天気がいいから、散歩しましょう。,天気がいいから、散歩しましょう。,study,,rare,,,Японский N1,天気がいいから、散歩しましょう。,JLPT N1,"Hace buen tiempo, salgamos a caminar.",日語N1,天気がいいから、散歩しましょう。,,,,,
34,雅思8分,IELTS Score 8,IELTS 8点,那可能是最贵的铅笔。,That might be the most expensive pencil ever.,たぶん世界一高い鉛筆。,study,,rare,,,IELTS 8 баллов,"Возможно, это был самый дорогой карандаш в твоей жизни.",IELTS 8 puntos,Tal vez fue el lápiz más caro de tu vida.,雅思8分,那可能是最貴的鉛筆。,,,,,
35,硕士毕业,Master’s Degree,修士,老实说，可能还不如本科有用。,"Honestly, it might be less useful than a bachelor’s degree.",正直、学士号より使えないかも。,study,,rare,,,Окончание магистратуры,"Честно говоря, возможно, менее полезна, чем бакалавриат.",Graduación de máster,"Honestamente, quizá menos útil que la licenciatura.",碩士畢業,老實說，可能還不如本科有用。,,,,,
36,博士毕业,PhD Degree,博士,你好博士，你能跟我讲讲纯粹理性批判吗？,"Hello Doctor of Philosophy, can you walk me through Critique of Pure Reason？",博士さん、『純粋理性批判』について教えてくれませんか？,study,,rare,,,Окончание докторантуры,"Здравствуйте, доктор. Можете рассказать мне о «Критике чистого разума»?",Graduación de doctorado,"Hola doctor, ¿puede hablarme de la “Crítica de la razón pura”?",博士畢業,你好博士，你能跟我講講純粹理性批判嗎？,,,,,
37,汽车影院,Drive-in Theater,ドライブインシアター,这对地球来说可不浪漫。,It’s not that romantic for the planet.,地球にとっては、ロマンチックでもなんでもない。,quest,,common,,,Автокинотеатр,Для планеты это совсем не романтично.,Cine de autos,"Para el planeta, esto no es nada romántico.",汽車影院,這對地球來說可不浪漫。,,,,,
38,一支康乃馨,A Carnation,カーネーションを一本,上一次给妈妈送花是什么时候？,When was the last time you gave your mom flowers?,最後に母に花をあげたのはいつ？,life,,common,,,Одна гвоздика,Когда в последний раз ты дарил цветы маме?,Un clavel,¿Cuándo fue la última vez que le diste flores a tu madre?,一支康乃馨,上一次給媽媽送花是什麽時候？,,,,,
39,一支玫瑰,A Rose,バラを一本,红玫瑰与白玫瑰。白月光和朱砂痣。,Red rose and white rose. White moonlight and cinnabar mole.,赤いバラと白いバラ。白い月光と朱砂の痣。,life,,common,,,Одна роза,Красная роза и белая роза. Свет луны и незаживающий шрам.,Una rosa,Rosa roja y rosa blanca. La luz de la luna y la cicatriz del corazón.,一支玫瑰,紅玫瑰與白玫瑰。白月光和朱砂痣。,,,,,
40,在城堡中醒来,Waking Up in a Castle,お城で目覚める,很遗憾，你并没有变成吸血鬼或者什么伯爵。,"Sorry, you didn’t become a vampire or some kind of count.",残念だけど、吸血鬼にも伯爵にもなれなかった。,quest,,rare,,,Проснуться в замке,"К сожалению, ты не стал вампиром или графом.",Despertar en un castillo,"Lamentablemente, no te has convertido en vampiro ni en conde.",在城堡中醒來,很遺憾，你並沒有變成吸血鬼或者什麽伯爵。,,,,,
41,露天温泉,Outdoor Hot Spring,露天温泉,在漆黑的森林中有被灯照亮的一团，雪花飘在额头，蒸汽不断上升。冷与热，水和雪，四肢百骸就这样化开。,"In the dark forest there is a mass illuminated by lamps, snowflakes drifting on foreheads, steam rising. Cold and heat, water and snow, limbs just melting away.",真っ暗な森に灯るひとかたまりの光。額に雪が降り、蒸気が立ち昇る。冷と温、水と雪、全身が溶けていく。,quest,,common,,,Открытый онсэн,"В тёмном лесу, освещённом огнями, снег падает на лоб, пар поднимается вверх. Холод и тепло, вода и снег растворяют всё тело.",Onsen al aire libre,"En el bosque oscuro iluminado por luces, la nieve cae en la frente, el vapor se eleva. Frío y calor, agua y nieve disuelven el cuerpo entero.",露天溫泉,在漆黑的森林中有被燈照亮的一團，雪花飄在額頭，蒸汽不斷上升。冷與熱，水和雪，四肢百骸就這樣化開。,,,,,
42,坐飞机,Taking a Plane  ,飛行機に乗る  ,也许你已记不清第一次坐飞机是几时，甚至今年已经飞了几十次，但这个世界上仍有第一次坐飞机并感到激动的人儿，如果是你，恭喜你！,Maybe you don’t remember your first flight. Maybe you flew dozens of times this year. But someone still feels excited on their first ever flight. If it’s you — congratulations!,初めて飛行機に乗ったのはいつか、もう覚えてないかもしれない。でもこの世にはまだ、初めて空を飛ぶことに胸を躍らせる誰かがいる。もしそれがあなたなら、おめでとう！,life,,rare,,,Полёт на самолёте,"Может, ты уже не помнишь свой первый полёт или летаешь десятки раз в год. Но в мире всегда есть тот, кто летит впервые и волнуется. Если это ты — поздравляю!",Volar en avión,"Tal vez ya no recuerdes tu primer vuelo o hayas volado decenas de veces este año, pero aún hay alguien en el mundo que vuela por primera vez y se emociona. Si eres tú, ¡felicidades!",坐飛機,也許你已記不清第一次坐飛機是幾時，甚至今年已經飛了幾十次，但這個世界上仍有第一次坐飛機並感到激動的人兒，如果是你，恭喜你！,,,,,
43,坐潜艇,Taking a Submarine  ,潜水艦に乗る  ,在海底的两万里深处究竟有什么？,What’s really lurking in the twenty thousand leagues under the sea?,海底2万マイルの先には何があるのか？,life,,rare,,,Погружение в подводную лодку,Что скрыто в двадцати тысячах ли глубин?,Viaje en submarino,¿Qué hay en las profundidades de veinte mil leguas bajo el mar?,坐潛艇,在海底的兩萬裏深處究竟有什麽？,,,,,
44,坐火箭,Taking a Rocket  ,ロケットに乗る  ,5、4、3、2、1，点火！,"5, 4, 3, 2, 1 — Ignition!",5、4、3、2、1、発射！,life,,legendary,,,Полёт на ракете,"5, 4, 3, 2, 1 — пуск!",Viaje en cohete,"5, 4, 3, 2, 1, ¡ignición!",坐火箭,5、4、3、2、1，點火！,,,,,
45,坐火车,Taking a Train  ,電車に乗る  ,时代的车轮滚滚向前。,The wheels of history keep turning.,時代の車輪は止まらない。,life,,common,,,Поездка на поезде,Колёса истории катятся вперёд.,Viaje en tren,Las ruedas de la historia avanzan sin parar.,坐火車,時代的車輪滾滾向前。,,,,,
46,坐地铁,Taking the Subway  ,地下鉄に乗る  ,"我在巨蛇的胃里端坐着
看着它蜿蜒的肠节
每个人都在木然地等待
只盼一场解脱
但是突然地
巨蛇把它的肠节打开
说你该下车","I sat inside the belly of the serpent,  
Watching its intestines curve and pulse.
Everyone waited, blank-eyed.
Hoping for release.
And suddenly,
The serpent opened its gut.
And said: You should get off here.","私は巨大な蛇の腹の中に座っていた  
その腸がくねり、動くのを見ながら  
皆は無表情で待ち続け  
ただ、解放を願っていた  
すると突然  
蛇は腹を開き  
こう言った  
君はここで降りるんだ",life,,common,,,Поездка в метро,"Я сижу в животе гигантской змеи, смотрю на её кольца. Все безмолвно ждут освобождения. Но вдруг змея открыла сегмент и сказала: «Тебе пора выходить».",Viaje en metro,"Estoy sentado en el vientre de una gran serpiente, mirando sus anillos. Todos esperan en silencio la liberación. Pero de repente, la serpiente abre un segmento y dice: “Debes bajar”.",坐地鐵,"我在巨蛇的胃裏端坐著
看著它蜿蜒的腸節
每個人都在木然地等待
只盼一場解脫
但是突然地
巨蛇把它的腸節打開
說你該下車",,,,,
47,骑马,Horseback Riding,馬に乗る,屁股痛不痛？,How’s your butt feeling?,お尻、痛くない？,sports,,rare,,,Верховая езда,Тебе больно сидеть?,Montar a caballo,¿Te duele la parte trasera?,騎馬,屁股痛不痛？,,,,,
48,获得飞行执照,Getting a Pilot’s License,パイロット免許を取得する,翱翔天空，是人类的梦想。,Soaring through the skies has always been a human dream.,空を飛ぶことは、人類の永遠の夢だ。,skills,,rare,,,Получение лицензии пилота,Летать в небе — это мечта человечества.,Licencia de piloto,Volar en el cielo es el sueño de la humanidad.,獲得飛行執照,翺翔天空，是人類的夢想。,,,,,
49,米其林三星餐厅,Michelin 3-Star Restaurant,ミシュラン三つ星レストラン,值得专程前往的餐厅，不过吃完之后发现不过如此。,"A restaurant worth a pilgrimage — but somehow, not worth the hype.",わざわざ行く価値があるけど、食べ終わると「そうでもない」って思っちゃう。,quest,,rare,,,Ресторан с тремя звёздами Michelin,"Ресторан, ради которого стоит ехать специально. Но после еды оказалось — ничего особенного.",Restaurante de tres estrellas Michelin,"Un restaurante que merece un viaje especial, pero después de comer, resultó no ser gran cosa.",米其林三星餐廳,值得專程前往的餐廳，不過吃完之後發現不過如此。,,,,,
50,财富自由,Financial Freedom,経済的自由,最重要的不是财富，而是自由。,"The most important thing isn’t wealth, it’s freedom.",大事なのはお金じゃなくて、自由だ。,career,,legendary,,,Финансовая свобода,"Главное не богатство, а свобода.",Libertad financiera,"Lo más importante no es la riqueza, sino la libertad.",財富自由,最重要的不是財富，而是自由。,,,,,
51,获得保安员证,Security Guard License,警備員資格取得,我是一个保安，上班只为下班。,I’m a security guard. I work just so I can get off work.,私は警備員。出勤は退勤のため。,skills,,common,,,Получение удостоверения охранника,"Я работаю охранником, и я прихожу на работу только для того, чтобы уйти с неё.",Obtener la tarjeta de guardia de seguridad,"Soy un guardia de seguridad, solo trabajo para terminar mi turno.",獲得保安員證,我是一個保安，上班只為下班。,,,,,
52,教师资格证,Teaching Certificate,教員免許,教书育人，功德无量。,Teaching and nurturing — truly a noble deed.,教えること、育てること、それは尊い仕事。,skills,,rare,,,Диплом об аттестации учителя,"Преподавать и внушать добрые нравы — это великое добро, не поддающееся измерению.",Certificado de Aptitud Docente,Enseñar y educar a las personas es un mérito sin límites.,教師資格證,教書育人，功德無量。,,,,,
53,睡够12小时,12 Hours of Sleep,12時間睡眠,当时间被均匀地分割成一半，我们又怎么知道哪一半才是真正的人生？,"When time is split in half, how do we know which half is life?",時間をきっちり半分に割ったとき、どちらが「人生」だとわかる？,quest,,common,,,Спал 12 часов,"Когда время равномерно разделяется пополам, как мы можем знать, какая половина является настоящей жизнью?",Dormir 12 horas completas,"Cuando el tiempo se divide uniformemente en dos mitades, ¿cómo sabemos cuál mitad es la vida real?",睡夠12小時,當時間被均勻地分割成一半，我們又怎麽知道哪一半才是真正的人生？,,,,,
54,谈恋爱10次,10 Relationships,10回の恋愛,灵魂就像拼图，有的规整，一搭就全；有的凹凸，十难满圆。,Some souls fit together instantly. Some take ten tries.,魂はパズルみたい。すぐハマるのもあれば、十回やっても合わないのもある。,life,,rare,,,Завести отношения 10 раз,"Душа подобна пазлу: у некоторых она ровная, и собирается сразу целиком; у других — с выступами и углублениями, и сложно сложить её в цельное круглое изображение.",Tener 10 relaciones sentimentales,El alma es como un rompecabezas: algunas piezas son regulares y se ensamblan fácilmente; otras son irregulares y es muy difícil completarlas.,談戀愛10次,靈魂就像拼圖，有的規整，一搭就全；有的凹凸，十難滿圓。,,,,,
55,出柜,Coming Out,カミングアウト,那是拼凑出来的对抗世界的力量，但不只有一个人站在你这边。,The courage was borrowed to confront the world — but you're not alone.,世界に抗うための力をかき集めて。でも、君は一人じゃない。,life,,rare,,,коминг-аут,"Это скомпонованная сила для противостояния миру, но не один человек стоит на твоей стороне.",Salir del armario,"Esa es una fuerza ensamblada para luchar contra el mundo, pero no estás solo de tu lado.",出櫃,那是拼湊出來的對抗世界的力量，但不只有一個人站在你這邊。,,,,,
56,拥有100款游戏,100 Games Owned,100本のゲーム所持,谁说买了就要玩的？,Who said you have to play what you bought?,買ったゲームを全部プレイしなきゃいけないなんて、誰が言った？,quest,,common,,,Иметь 100 игр,"Кто сказал, что купив, обязательно нужно играть?",Tener 100 juegos,¿Quién dijo que hay que jugar si lo compras?,擁有100款遊戲,誰說買了就要玩的？,,,,,
57,踏足亚洲,Setting Foot in Asia,アジアに足を踏み入れる,回家其实也算一种远行。,Coming home is just another kind of adventure.,故郷に帰ることも、ひとつの冒険だ。,life,,common,,,Ступить на землю Азии,Вернуться домой на самом деле тоже можно считать длительной поездкой.,Pisar Asia,Volver a casa también puede considerarse una especie de viaje largo.,踏足亞洲,回家其實也算一種遠行。,,,,,
58,踏足欧洲,Setting Foot in Europe,ヨーロッパに足を踏み入れる,在中世纪的街道上，踩碎了罗马人的影子。,Stepped on cobblestones and echoes of empires.,石畳の上に、帝国の影を踏みつけた。,life,,common,,,Посетить Европу,На улицах Средневековья раздавлены тени римлян.,Pisar Europa,"En las calles medievales, se rompieron las sombras de los romanos.",踏足歐洲,在中世紀的街道上，踩碎了羅馬人的影子。,,,,,
59,踏足非洲,Setting Foot in Africa,アフリカに足を踏み入れる,阳光炙烤着土地，也炙烤着灵魂。,"The sun burns the land — and sometimes, the soul.",陽光が大地を、そして心を焼く。,life,,common,,,Поход в Африку,Солнце жжет землю и жжет душу.,Pisar África,El sol abrasa la tierra y también el alma.,踏足非洲,陽光炙烤著土地，也炙烤著靈魂。,,,,,
60,踏足北美洲,Setting Foot in North America,北アメリカに足を踏み入れる,从自由女神到66号公路，一场资本主义的公路旅行。,A capitalist road trip from The Statue of Liberty to Route 66.,自由の女神から66号線へ、資本主義のロードムービー。,life,,common,,,Посетить Северную Америку,От Статуры Свободы до автостrada 66 — автомобильное путешествие по капитализму.,Pisar América del Norte,"De la Estatua de la Libertad al Route 66, un viaje por carretera capitalista.",踏足北美洲,從自由女神到66號公路，一場資本主義的公路旅行。,,,,,
61,踏足南美洲,Setting Foot in South America,南アメリカに足を踏み入れる,玛雅没留下时光机，但留了神秘和雨林。,The Maya didn’t leave time machines — just mysteries and rainforests.,マヤはタイムマシンを残さなかったが、謎と森は残した。,life,,common,,,Посетить Южную Америку,"Майя не оставила машины времени, но оставила тайну и дождливый лес.",Pisar Sudamérica,"Los mayas no dejaron máquinas del tiempo, pero sí misterio y selva.",踏足南美洲,瑪雅沒留下時光機，但留了神秘和雨林。,,,,,
62,踏足大洋洲,Setting Foot in Oceania,オセアニアに足を踏み入れる,这里的星星是倒过来的，南十字闪得真认真。,"The stars here are upside down, and they shine like they mean it.",星が逆さに輝く場所、その輝きは本気だ。,life,,common,,,Шаг в Океанию,"Здесь звёзды перевёрнуты, а Южный Крест светится так серьёзно.",Pisar Oceanía,"Las estrellas aquí están al revés, y la Cruz del Sur brilla con tanta dedicación.",踏足大洋洲,這裏的星星是倒過來的，南十字閃得真認真。,,,,,
